Title,Category,Address,Logo
Sultan Ayub,Turkish,"El Geish Road, In Front of Beer Masoud Miami, Miami",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/dc5aa5e8-2580-11e8-add5-0242ac110011.jpg
Dixi's Fried ChickenORDER ONLINE,Fried chicken,"730 Army Road, Elysee Palace, Next to the Armed Forces Hotel Asafra Al Asafra Bahary, Al Asafra",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/c933ac0c-c720-423d-97f4-c386e6432370.jpg
Set El ShamORDER ONLINE,Chicken Grill Syrian,"3 Mohamed Naguib Street, Sidi Bishr Bahri(Delivery Only) Sidi Beshr Mohamed Naguib, Sidi Beshr Mohamed Naguib",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/5028f06d-577c-4e99-99d2-16d8f6d7f0ef.jpg
5 RoostersORDER ONLINE,Fried chicken Made in Egypt,"Inside Food Court San Stefano Mall San Stefano, San Stefano",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/6b3586eb-2d3c-4fd0-b366-f9d1a597fcd0.jpg
Karam El ShamORDER ONLINE,Shawerma,"Victor Amanoiel Square Semouha, Semouha",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/0dd434cf-286f-4bb8-bea9-b06ce79afcaa.jpg
HawawshinoORDER ONLINE,Egyptian Sandwiches,"At The End of Al-Rusafa Street, Next to The Three Eyes Bridge Moharam Bek, Moharam Bek",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/f37bbbbf-5dcc-4caf-b3d2-aab2f833793e.jpg
Sale SucreORDER ONLINE,Bakeries Desserts,"46 Al Ekbal Street Sidi Beshr Mohamed Naguib, Sidi Beshr Mohamed Naguib",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/4b0421ae-f817-4a94-b17d-559d5a1b71f8.jpg
MaharajaORDER ONLINE,Chicken Indian International Made in Egypt,"Sporting Next To Jeddah Hotel Sporting, Sporting",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/65b7105a-a688-4195-a2e5-c967d2e4eea0.jpg
Bruxie'sORDER ONLINE,Coffee & Drinks Pizza Sandwiches,"Food Court San Stefano Mall San Stefano, San Stefano",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/dc5fe750-2580-11e8-add5-0242ac110011.jpg
Hadramout Restaurant ORDER ONLINE,Egyptian Grill Oriental,"318 Khalid Bin Al Walid Street, Fasr Sharaf Building, Miami Miami, Miami",https://s3-eu-west-1.amazonaws.com/elmenusv5-stg/Normal/3dd888a1-827b-4518-b6f2-6cda6bbcd13a.jpg
